actual_timesteps,approximate_kl,clip_fraction,effective_device,entropy_loss,environment_version,error,explained_variance,feature_version,learning_rate,parameter_count,policy_gradient_loss,recurrent_continuity_checks,recurrent_continuity_verified,recurrent_contract_version,requested_device,requested_timesteps,rollout_boundaries_observed,run_id,runtime_seconds,seed,status,steps_per_second,study_version,symbol,test_partition_loaded,train_end,train_rows,train_start,updates,validation_end,validation_exposure_percentage,validation_first_episode_start,validation_max_drawdown,validation_parameters_unchanged,validation_return,validation_rows,validation_sharpe,validation_start,validation_status,validation_trade_count,value_loss,worker_wall_seconds
250368,0.04544950649142265,0.18203125,cpu,-0.44828071966767313,single_symbol_env_v1,,0.8800613284111023,psx-4a-126450ec6355,0.0003,51076,-0.029063586425036193,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-36431132fa9dd61d000c,550.4804104579998,42,completed,454.81727459055946,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,4890,2025-02-12,41.32231404958678,True,0.14677414054275584,True,0.481642954652701,364,1.3062888046046817,2023-08-23,completed,14,0.0004798405584097054,550.6307975000009
50176,0.018142834305763245,0.1181640625,cpu,-0.6226175602525472,single_symbol_env_v1,,0.705775797367096,psx-4a-126450ec6355,0.0003,51076,-0.019480807695072145,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-e948237840ece0f57add,107.20928062500025,123,completed,468.01918367036785,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,980,2025-02-12,11.019283746556475,True,0.07346451044764823,True,0.07080906371080564,364,0.604388758627383,2023-08-23,completed,6,0.0012790233358828118,107.35919354100042
100352,0.011881615966558456,0.0984375,cpu,-0.4891720075160265,single_symbol_env_v1,,0.7562881112098694,psx-4a-126450ec6355,0.0003,51076,-0.01254904933157377,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-cc7eb539b5048ee51fd6,217.29365150000012,123,completed,461.8266539646233,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,1960,2025-02-12,25.6198347107438,True,0.2042209775796373,True,0.11392236835084657,364,0.5223970122683909,2023-08-23,completed,24,0.0003987076507200982,217.4420552499996
250368,0.031658802181482315,0.155859375,cpu,-0.3518143504858017,single_symbol_env_v1,,0.9800173044204712,psx-4a-126450ec6355,0.0003,51076,-0.023109646094962955,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-a3a10a05ab871d6267f0,526.2938297920009,123,completed,475.71904861386867,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,4890,2025-02-12,28.650137741046834,True,0.20388565980820905,True,-0.05151694564720355,364,-0.13743974392790032,2023-08-23,completed,22,0.0001827945881359483,526.4451183750007
50176,0.019317835569381714,0.1412109375,cpu,-0.6422587100416421,single_symbol_env_v1,,0.5025488138198853,psx-4a-126450ec6355,0.0003,51076,-0.024316819006344303,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-5de4aeeafda51812bcd6,104.94817008399878,2026,completed,478.1026668672733,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,980,2025-02-12,13.223140495867769,True,0.07036656389373819,True,0.24510623578168556,364,1.1759393095811663,2023-08-23,completed,6,0.0016090889957922627,105.09062354200069
100352,0.03000103309750557,0.165234375,cpu,-0.45069498382508755,single_symbol_env_v1,,0.6990784406661987,psx-4a-126450ec6355,0.0003,51076,-0.014963981392793358,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-c31d52f278b5e80da8c8,211.75524816599864,2026,completed,473.90560975061317,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,1960,2025-02-12,36.36363636363637,True,0.17969896666191187,True,0.055548160514147016,364,0.294920247010736,2023-08-23,completed,22,0.00014918276710886857,211.99735574999977
250368,0.04947318881750107,0.1927734375,cpu,-0.4201975088566542,single_symbol_env_v1,,0.9624883532524109,psx-4a-126450ec6355,0.0003,51076,-0.012461347703356296,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-91a96037e9c5cc768a6e,534.469194583,2026,completed,468.4423396849662,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,4890,2025-02-12,20.110192837465565,True,0.0994766045499419,True,0.12748362054253648,364,0.7292621587197585,2023-08-23,completed,18,0.0003865379068884067,534.615754208
50176,0.02968784049153328,0.1494140625,cpu,-0.42167935110628607,single_symbol_env_v1,,0.9740666151046753,psx-4a-126450ec6355,0.0003,51076,-0.015813066333066672,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-cdc2dddb0713b15ba1af,117.11951445800014,42,completed,428.41707662640164,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,980,2026-04-15,77.77777777777779,True,0.49578100455053464,True,-0.36317733756842985,73,-2.106474557161866,2025-12-30,completed,11,0.005791564017636119,117.16633316700018
100352,0.08375945687294006,0.1232421875,cpu,-0.22480694726109504,single_symbol_env_v1,,0.9919070601463318,psx-4a-126450ec6355,0.0003,51076,-0.02197513331193477,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-7e3535bea261aa5685ab,228.96841591600014,42,completed,438.27878879511206,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,1960,2026-04-15,77.77777777777779,True,0.5696555362109398,True,-0.43966951204087457,73,-2.7537893151384663,2025-12-30,completed,13,0.0012189748162199977,229.0202187079999
250368,0.05850784108042717,0.1220703125,cpu,-0.1820163881406188,single_symbol_env_v1,,0.9978688359260559,psx-4a-126450ec6355,0.0003,51076,-0.02111985144438222,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-3c26876a0860348c019b,567.2305698750001,42,completed,441.38664821110274,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,4890,2026-04-15,54.166666666666664,True,0.2988064230313693,True,0.033374544526055816,73,0.5032683362669993,2025-12-30,completed,23,0.0010925588271675224,567.2815969159997
