symbol,train_rows,train_start,train_end,median_volume,average_volume,zero_volume_ratio,zero_ohl_ratio,non_positive_close_rows,validation_available,recurrent_contract_version,feature_version,environment_version,active_span_coverage
SHSML,1380,2016-11-02,2024-02-01,5000.0,12408.333333333334,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7666666666666667
SIBL,933,2016-11-24,2024-12-18,4013.0,26594.459807073956,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.466966966966967
SIEM,1451,2016-11-01,2023-11-23,650.0,1959.1936595451414,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8281963470319634
SITC,1432,2016-10-18,2023-11-27,2800.0,11698.708100558659,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8117913832199547
SKRS,1659,2016-10-21,2023-08-28,65500.0,153893.30922242315,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9770318021201413
SLGL,363,2024-07-05,2025-12-16,2544985.0,5065837.876033057,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
SLYT,623,2016-12-13,2025-07-09,5000.0,20677.109149277687,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.29372937293729373
SMCPL,1462,2016-10-06,2023-12-08,25000.0,158482.21614227086,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8218100056211355
SML,1152,2016-10-06,2024-05-31,8500.0,290776.00086805556,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6079155672823219
SNAI,893,2016-10-28,2024-11-06,2500.0,6459.131019036954,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4494212380473075
SNBL,1606,2016-10-13,2023-10-23,36500.0,293456.10211706103,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9213998852553069
SNGP,1704,2016-10-06,2023-08-23,2311156.0,3314837.061032864,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
SPEL,1631,2016-10-06,2023-10-05,34000.0,152541.38565297364,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9405997693194925
SPL,1682,2016-10-06,2023-08-10,146250.0,398328.7752675387,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9917452830188679
SPWL,1680,2016-10-06,2023-09-06,59500.0,178415.47619047618,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9801633605600933
SRVI,1652,2016-10-06,2023-09-22,3975.0,11911.410411622275,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9571263035921205
SSGC,1704,2016-10-06,2023-08-23,1213750.0,2550556.4102112674,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
SSML,1344,2016-10-06,2024-02-07,8000.0,49523.80952380953,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7384615384615385
SSOM,1194,2016-10-13,2024-07-08,3000.0,7749.510887772194,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6234986945169713
STCL,1701,2016-10-06,2023-08-18,430500.0,985691.9459141681,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
STJT,900,2017-02-06,2024-10-28,500.0,1556.7855555555554,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4712041884816754
STL,406,2024-01-05,2025-11-18,286.0,844.1871921182266,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8787878787878788
STML,570,2017-03-01,2025-06-04,1000.0,4007.6298245614034,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.2791380999020568
STPL,1704,2016-10-06,2023-08-23,723750.0,1449961.5610328638,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
STYLERS,379,2024-04-08,2025-12-05,3116.0,11974.730870712401,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9199029126213593
SUHJ,264,2022-10-07,2026-01-06,454.5,2425.284090909091,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.32754342431761785
SURC,838,2016-11-01,2024-12-23,500.0,4320.206443914081,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.41526263627353815
SUTM,881,2017-01-13,2025-01-10,500.0,1756.3847900113508,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4451743304699343
SYM,473,2023-11-13,2025-10-10,2624697.0,5509804.619450317,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
SYS,1695,2016-10-06,2023-08-25,143200.0,240984.34041297936,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9935521688159438
SZTM,265,2018-02-23,2026-01-27,500.0,3482.5132075471697,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.13506625891946994
TATM,1146,2016-12-06,2024-07-19,4500.0,15521.277486910994,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.60828025477707
TBL,422,2024-02-27,2025-11-11,1204204.5,3467636.8625592417,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
TCORP,1487,2016-10-14,2023-12-05,19500.0,53220.242098184266,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8391647855530474
TELE,1703,2016-10-06,2023-08-24,811000.0,4780460.47504404,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9988269794721407
TGL,1703,2016-10-06,2023-08-24,161500.0,361453.9342337052,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9988269794721407
THALL,1674,2016-10-07,2023-09-07,16000.0,46689.671445639186,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9766627771295215
THCCL,1693,2016-10-06,2023-08-29,118000.0,363555.8180744241,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9912177985948478
TICL,868,2017-03-22,2024-12-17,300.0,828.8467741935484,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4535005224660397
TOMCL,1007,2020-10-12,2024-11-07,568000.0,1503106.5700099305,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
TOWL,1253,2017-01-10,2024-06-05,5500.0,25872.237829209895,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6835788325150027
TPL,1704,2016-10-06,2023-08-23,768750.0,2463098.884976526,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
TPLI,986,2018-11-09,2024-11-20,11500.0,57896.04665314402,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.660857908847185
TPLL,452,2017-01-20,2025-10-21,1000.0,3053.1769911504425,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.20867959372114497
TPLP,1359,2018-04-27,2024-03-25,1294000.0,4147973.5437821927,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9295485636114911
TPLT,970,2020-10-19,2024-12-02,41000.0,239868.51340206186,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9519136408243376
TREET,1704,2016-10-06,2023-08-23,627750.0,1937911.545774648,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
TRG,1704,2016-10-06,2023-08-23,7755665.0,10533066.07746479,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
TRIPF,1596,2016-10-06,2023-10-13,9650.0,38073.55889724311,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9172413793103448
TSBL,760,2016-11-04,2024-12-30,3000.0,51860.20526315789,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3764239722634968
TSML,582,2018-03-07,2025-07-10,500.0,722.987972508591,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3210148924434639
TSPL,1649,2016-10-06,2023-09-20,42000.0,149926.01576713158,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9564965197215777
UBDL,1267,2017-10-24,2024-05-22,5500.0,14651.93370165746,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7782555282555282
UBL,1704,2016-10-06,2023-08-23,908895.5,1356885.2893192489,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
UDLI,322,2024-09-24,2026-01-09,23936.5,166205.7453416149,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9847094801223242
UDPL,1038,2016-11-10,2024-10-07,3500.0,12310.119460500964,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5306748466257669
UNIC,1571,2016-10-06,2023-11-08,11000.0,24598.026734563973,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8936291240045506
UNITY,1493,2017-12-21,2024-01-02,6409681.0,10020449.319490958,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
UPFL,872,2016-12-30,2025-01-30,40.0,68.54128440366972,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.43534697953070395
UVIC,893,2016-11-04,2025-01-10,3500.0,24633.325867861142,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4403353057199211
WAFI,1704,2016-10-06,2023-08-23,91000.0,238234.1261737089,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
WAHN,1277,2016-10-07,2024-05-16,1700.0,8995.983555207518,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6778131634819533
WAVES,1628,2017-03-10,2023-10-09,489000.0,1206105.343980344,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
WAVESAPP,1471,2016-10-21,2024-01-15,20000.0,224458.19170632222,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8194986072423398
WTL,1704,2016-10-06,2023-08-23,6410817.5,16828574.812793426,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
YOUW,1699,2016-10-19,2023-08-25,234000.0,735261.3301942319,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
ZAHID,1010,2016-10-18,2024-06-26,2500.0,10236.384158415842,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5304621848739496
ZAL,214,2025-05-15,2026-03-18,1085588.5,2377938.831775701,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
ZIL,1213,2016-11-02,2023-11-21,3000.0,13517.559769167354,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6935391652372784
ZTL,1064,2017-05-02,2024-05-22,5500.0,21935.15037593985,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6093928980526919
