date,weekday,current_saved_state_category,current_saved_message_reason,attempt_count,recorded_response_sizes_bytes,raw_html_exists,raw_html_path,raw_html_byte_size,historical_table_present,tbody_empty,equity_rows_present,csv_file_exists,valid_csv_exists,csv_path,csv_row_count,represented_by_successful_local_file,weekend,possible_holiday_non_trading_candidate,audit_group,recommended_next_action
2019-08-14,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2019-08-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2019-08-15,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2019-08-15.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2019-09-09,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2019-09-09.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2019-09-10,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2019-09-10.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2019-12-25,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2019-12-25.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-02-05,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-02-05.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-03-23,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-03-23.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-05-01,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-05-01.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-05-22,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-05-22.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-05-25,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-05-25.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-05-26,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-05-26.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-05-27,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-05-27.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-07-31,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-07-31.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-08-14,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-08-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-10-30,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-10-30.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2020-12-25,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2020-12-25.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-02-05,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-02-05.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-03-23,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-03-23.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-05-07,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-05-07.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-05-10,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-05-10.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-05-11,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-05-11.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-05-12,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-05-12.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-05-13,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-05-13.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-05-14,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-05-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-07-20,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-07-20.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-07-21,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-07-21.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-07-22,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-07-22.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-08-18,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-08-18.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2021-08-19,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2021-08-19.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-03-23,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-03-23.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-04-29,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-04-29.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-05-02,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-05-02.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-05-03,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-05-03.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-05-04,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-05-04.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-05-05,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-05-05.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-07-08,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-07-08.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-07-11,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-07-11.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-07-12,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-07-12.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-08-08,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-08-08.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-08-09,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-08-09.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2022-11-09,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2022-11-09.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-03-23,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-03-23.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-04-14,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-04-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-04-21,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-04-21.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-04-24,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-04-24.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-04-25,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-04-25.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-05-01,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-05-01.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
